,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b14,b15,name,time
54,4,0,1,0,1,0,5,0,0,0,7,0,1125129963,15000,110-2015-08-27_08.06.03.rdf,2015-07-27_08.06.03
55,4,0,1,0,1,0,5,0,0,0,7,0,1125131744,15000,110-2015-08-27_08.35.44.rdf,2015-07-27_08.35.44
56,4,0,1,0,1,0,5,0,0,0,7,0,1128789841,15000,110-2015-10-08_16.44.01.rdf,2015-09-07_16.44.01
57,4,0,1,0,1,0,5,0,0,0,7,0,1238686845,15000,110-2019-04-02_15.40.45.rdf,2019-03-02_15.40.45
58,4,0,1,0,1,0,5,0,0,0,7,0,1253805684,15000,110-2019-09-24_15.21.24.rdf,2019-08-24_15.21.24
59,4,0,1,0,1,0,5,0,0,0,7,0,1253806589,15000,110-2019-09-24_15.36.29.rdf,2019-08-24_15.36.29
60,4,0,1,0,1,0,5,0,0,0,7,0,1077780840,15000,110-Александровская_2014-02-25_07.34.00.rdf,2014-01-25_07.34.00
61,4,0,1,0,1,0,5,0,0,0,7,0,1077782554,15000,110-Александровская_2014-02-25_08.02.34.rdf,2014-01-25_08.02.34
62,4,0,1,0,1,0,5,0,0,0,7,0,1082520662,15000,110-Александровская_2014-04-21_04.11.02.rdf,2014-03-21_04.11.02
63,4,0,0,0,1,0,2,0,2,0,7,0,880307788,15000,111-2007-11-23_17.56.28.rdf,2007-10-23_17.56.28
64,4,0,0,0,1,0,2,0,2,0,7,0,880313560,15000,111-2007-11-23_19.32.40.rdf,2007-10-23_19.32.40
65,4,0,0,0,1,0,2,0,2,0,7,0,880379092,15000,111-2007-11-24_13.44.52.rdf,2007-10-24_13.44.52
66,4,0,0,0,1,0,2,0,2,0,7,0,880383842,15000,111-2007-11-24_15.04.02.rdf,2007-10-24_15.04.02
67,4,0,1,0,1,0,2,0,0,0,7,0,1056124202,15000,111-2013-06-19_15.50.02.rdf,2013-05-19_15.50.02
68,4,0,1,0,1,0,2,0,0,0,7,0,1057920698,15000,111-2013-07-10_10.51.38.rdf,2013-06-09_10.51.38
69,4,0,1,0,1,0,5,0,0,0,7,0,1060011519,15000,111-2013-08-03_15.38.39.rdf,2013-07-03_15.38.39
70,4,0,1,0,1,0,2,0,0,0,7,0,1060011753,15000,111-2013-08-03_15.42.33.rdf,2013-07-03_15.42.33
71,4,0,1,0,1,0,5,0,0,0,7,0,1061560225,15000,111-2013-08-21_13.50.25.rdf,2013-07-21_13.50.25
72,4,0,1,0,1,0,5,0,0,0,7,0,1061560281,15000,111-2013-08-21_13.51.21.rdf,2013-07-21_13.51.21
73,4,0,1,0,1,0,5,0,0,0,7,0,1079865974,15000,112-2014-03-21_10.46.14.rdf,2014-02-18_10.46.14
74,4,0,1,0,1,0,5,0,0,0,7,0,1079866464,15000,112-2014-03-21_10.54.24.rdf,2014-02-18_10.54.24
75,4,0,1,0,1,0,5,0,0,0,7,0,1084901888,15000,112-2014-05-18_17.38.08.rdf,2014-04-17_17.38.08
76,4,0,1,0,1,0,5,0,0,0,7,0,1122494403,15000,112-2015-07-27_20.00.03.rdf,2015-06-26_20.00.03
77,4,0,1,0,1,0,5,0,0,0,7,0,1124361385,15000,112-2015-08-18_10.36.25.rdf,2015-07-18_10.36.25
78,4,0,1,0,1,0,5,0,0,0,7,0,1124362438,15000,112-2015-08-18_10.53.58.rdf,2015-07-18_10.53.58
79,4,0,1,0,1,0,5,0,0,0,7,0,1174225990,15000,112-2017-03-17_13.53.10.rdf,2017-02-14_13.53.10
80,4,0,1,0,1,0,5,0,0,0,7,0,1189676082,15000,112-2017-09-12_09.34.42.rdf,2017-08-12_09.34.42
81,4,0,1,0,1,0,5,0,0,0,7,0,1189676514,15000,112-2017-09-12_09.41.54.rdf,2017-08-12_09.41.54
82,4,0,1,0,1,0,5,0,0,0,7,0,983361763,15000,113-2011-02-28_12.02.43.rdf,2011-01-28_12.02.43
83,4,0,1,0,1,0,5,0,0,0,7,0,984910221,15000,113-2011-03-18_10.10.21.rdf,2011-02-15_10.10.21
84,4,0,1,0,1,0,5,0,0,0,7,0,987696792,15000,113-2011-04-19_16.13.12.rdf,2011-03-19_16.13.12
85,4,0,1,0,1,0,5,0,0,0,7,0,1189752661,15000,113-2017-09-13_06.51.01.rdf,2017-08-13_06.51.01
86,4,0,1,0,1,0,5,0,0,0,7,0,1189948434,15000,113-2017-09-15_13.13.54.rdf,2017-08-15_13.13.54
87,4,0,1,0,1,0,5,0,0,0,7,0,1189949057,15000,113-2017-09-15_13.24.17.rdf,2017-08-15_13.24.17
88,4,0,1,0,1,0,5,0,0,0,7,0,1220610844,15000,114-2018-09-05_10.34.04.rdf,2018-08-05_10.34.04
89,4,0,1,0,1,0,5,0,0,0,7,0,1220794380,15000,114-2018-09-07_13.33.00.rdf,2018-08-07_13.33.00
90,4,0,1,0,1,0,5,0,0,0,7,0,1221243205,15000,114-2018-09-12_18.13.25.rdf,2018-08-12_18.13.25
91,4,0,1,0,1,0,5,0,0,0,7,0,1124344445,15000,116-2015-08-18_05.54.05.rdf,2015-07-18_05.54.05
92,4,0,1,0,1,0,5,0,0,0,7,0,1124344687,15000,116-2015-08-18_05.58.07.rdf,2015-07-18_05.58.07
93,4,0,1,0,1,0,5,0,0,0,7,0,1124933413,15000,116-2015-08-25_01.30.13.rdf,2015-07-25_01.30.13
94,4,0,1,0,1,0,5,0,0,0,7,0,1143624466,15000,116-2016-03-28_09.27.46.rdf,2016-02-26_09.27.46
95,4,0,1,0,1,0,5,0,0,0,7,0,1143624718,15000,116-2016-03-28_09.31.58.rdf,2016-02-26_09.31.58
96,4,0,1,0,1,0,5,0,0,0,7,0,1206680426,15000,116-2018-03-28_05.00.26.rdf,2018-02-25_05.00.26
97,4,0,1,0,1,0,5,0,0,0,7,0,1221109079,15000,116-2018-09-11_04.57.59.rdf,2018-08-11_04.57.59
98,4,0,1,0,1,0,5,0,0,0,7,0,1221126371,15000,116-2018-09-11_09.46.11.rdf,2018-08-11_09.46.11
99,4,0,1,0,1,0,2,0,2,0,7,0,909919565,15000,117-2008-10-31_11.26.05.rdf,2008-09-30_11.26.05
100,4,0,1,0,1,0,2,0,2,0,7,0,909919715,15000,117-2008-10-31_11.28.35.rdf,2008-09-30_11.28.35
101,4,0,1,0,1,0,2,0,0,0,7,0,936277625,15000,117-2009-09-01_13.07.05.rdf,2009-08-01_13.07.05
102,4,0,1,0,1,0,2,0,0,0,7,0,936277777,15000,117-2009-09-01_13.09.37.rdf,2009-08-01_13.09.37
103,4,0,1,0,1,0,2,0,0,0,7,0,936356207,15000,117-2009-09-02_10.56.47.rdf,2009-08-02_10.56.47
104,4,0,1,0,1,0,2,0,2,0,7,0,909845089,15000,118-2008-10-30_14.44.49.rdf,2008-09-29_14.44.49
105,4,0,1,0,1,0,2,0,0,0,7,0,936356376,15000,118-2009-09-02_10.59.36.rdf,2009-08-02_10.59.36
106,12846,15000,886,888,901,884,1006,1006,1361,1367,16375,29051,58196855,896,12-05_Сентябрь_2006г_16.07.42.rdf,1981-10-04_13.47.35
107,12847,15000,897,871,897,897,1006,1007,1153,1131,16375,20859,57082750,897,12-05_Сентябрь_2006г_17.12.45.rdf,1981-09-21_16.19.10
108,4,0,0,0,2,0,2,0,2,0,6,0,891508216,15000,12-2008-04-01_09.10.16.rdf,2008-03-01_09.10.16
109,4,0,0,0,2,0,2,0,2,0,6,0,891508458,15000,12-2008-04-01_09.14.18.rdf,2008-03-01_09.14.18
110,4,0,0,0,2,0,2,0,2,0,6,0,892994535,15000,12-2008-04-18_14.02.15.rdf,2008-03-18_14.02.15
111,4,0,1,0,2,0,2,0,2,0,6,0,1030522885,15000,12-2012-08-27_08.21.25.rdf,2012-07-27_08.21.25
112,4,0,1,0,2,0,2,0,2,0,6,0,1031745381,15000,12-2012-09-10_11.56.21.rdf,2012-08-10_11.56.21
113,4,0,1,0,2,0,2,0,2,0,6,0,1034595493,15000,12-2012-10-13_11.38.13.rdf,2012-09-12_11.38.13
114,4,0,1,0,1,0,2,0,0,0,7,0,1191761157,15000,122-2017-10-06_12.45.57.rdf,2017-09-05_12.45.57
115,4,0,1,0,1,0,2,0,0,0,7,0,1203687559,15000,122-2018-02-21_13.39.19.rdf,2018-01-21_13.39.19
116,4,0,1,0,1,0,2,0,0,0,7,0,1203687734,15000,122-2018-02-21_13.42.14.rdf,2018-01-21_13.42.14
